VIV_SEL,P1_1,P1_2,P1_3,P1_4,P1_5_1,P1_5_2,P2_1,P2_2,P2_3,cve_est,cve_mun,cluster
4,3,1,1,1,1,2,5,1,1,1,1,2
5,3,1,1,1,1,1,4,1,1,1,1,2
1,3,1,1,1,1,1,8,1,1,1,1,2
2,3,1,1,1,1,1,1,1,1,1,1,2
3,3,1,1,1,1,2,4,1,1,1,1,2
5,3,1,1,1,1,1,4,1,1,1,1,2
1,3,1,1,1,1,1,4,1,1,1,1,2
2,3,1,1,1,1,1,5,1,1,1,1,2
3,3,1,1,1,1,2,1,1,1,1,1,2
5,3,1,1,1,1,1,6,1,1,1,1,2
1,3,1,1,1,1,1,2,1,1,1,1,2
2,3,1,1,1,1,1,3,1,1,1,1,2
3,3,1,1,1,1,1,4,1,1,1,1,2
4,3,1,1,1,1,1,4,1,1,1,1,2
2,3,1,1,1,1,1,3,1,1,1,1,2
3,3,1,1,1,1,1,5,1,1,1,1,2
5,3,1,1,1,1,1,4,1,1,1,1,2
1,3,1,1,1,1,1,3,1,1,1,1,2
3,2,1,1,1,1,1,3,1,1,1,1,2
5,3,1,1,1,1,1,4,1,1,1,1,2
2,2,1,1,1,1,1,5,1,1,1,1,2
3,2,1,1,1,1,1,3,1,1,1,1,2
4,2,1,1,1,2,2,2,1,1,1,1,2
5,2,1,1,1,1,1,4,1,1,1,1,2
2,3,1,1,1,1,1,4,1,1,1,1,2
4,2,1,1,1,1,1,5,1,1,1,1,2
5,3,1,1,1,1,1,11,1,1,1,1,2
2,2,1,1,1,1,1,12,1,1,1,1,2
3,3,1,1,1,1,1,1,1,1,1,1,2
4,2,1,1,1,1,1,1,1,1,1,1,2
5,3,1,1,1,1,1,1,1,1,1,1,2
1,2,1,1,1,2,2,1,1,1,1,1,2
2,2,1,1,1,1,1,6,2,2,1,1,2
3,2,1,1,1,1,1,5,1,1,1,1,2
4,2,1,1,1,2,2,3,1,1,1,1,2
5,3,1,1,1,1,1,3,1,1,1,1,2
1,3,1,1,1,1,1,2,1,1,1,1,2
3,3,1,1,1,1,1,3,1,1,1,1,2
4,3,1,1,1,1,1,3,1,1,1,1,2
5,3,1,1,1,1,1,2,1,1,1,1,2
1,3,1,1,1,1,1,2,1,1,1,1,2
2,2,1,1,1,1,1,6,1,1,1,1,2
3,3,1,1,1,1,2,1,1,1,1,1,2
4,3,1,1,1,1,2,3,1,1,1,1,2
5,3,1,1,1,1,1,1,1,1,1,1,2
2,2,1,1,1,2,1,3,1,1,1,1,2
5,3,1,1,1,1,1,5,1,1,1,1,2
1,2,1,1,1,1,1,3,1,1,1,1,2
2,2,1,1,1,1,2,8,1,1,1,1,2
3,2,1,1,1,1,1,9,2,2,1,1,2
4,3,1,1,1,1,1,6,1,1,1,1,2
5,2,1,1,1,1,1,1,1,1,1,1,2
1,2,1,1,1,1,1,6,1,1,1,1,2
2,2,1,1,1,1,1,8,1,1,1,1,2
3,2,1,1,1,1,1,10,2,2,1,1,2
4,2,1,1,1,1,1,4,1,1,1,1,2
1,3,1,1,1,1,1,2,1,1,1,1,2
2,3,1,1,1,1,1,2,1,1,1,1,2
3,3,1,1,1,1,1,4,1,1,1,1,2
4,3,1,1,1,1,1,5,1,1,1,1,2
5,3,1,1,1,1,2,4,1,1,1,1,2
1,3,1,1,1,1,1,2,1,1,1,1,2
2,3,1,1,1,1,1,4,1,1,1,1,2
3,3,1,1,1,1,1,3,1,1,1,1,2
4,3,1,1,1,1,1,3,1,1,1,1,2
5,3,1,1,1,1,1,3,1,1,1,1,2
1,3,1,1,1,1,1,7,2,2,1,1,2
2,3,1,1,1,1,1,7,2,2,1,1,2
4,3,1,1,1,1,1,5,1,1,1,1,2
5,3,1,1,1,1,1,2,1,1,1,1,2
1,3,1,1,1,1,1,5,1,1,1,1,2
3,3,1,1,1,1,2,1,1,1,1,1,2
5,3,1,1,1,1,1,5,1,1,1,1,2
1,3,1,1,1,1,1,5,1,1,1,1,2
3,3,1,1,1,1,1,3,1,1,1,1,2
5,3,1,1,1,1,1,2,1,1,1,1,2
1,2,1,1,1,1,1,5,1,1,1,1,2
2,3,1,1,1,1,2,1,1,1,1,1,2
3,3,1,1,1,1,1,3,1,1,1,1,2
4,2,1,1,1,1,1,3,1,1,1,1,2
5,3,1,1,1,1,1,2,1,1,1,1,2
1,2,1,1,1,1,1,2,1,1,1,1,2
2,3,1,1,1,1,2,3,1,1,1,1,2
3,3,1,1,1,1,1,2,1,1,1,1,2
5,3,1,1,1,1,1,5,1,1,1,1,2
1,3,1,1,1,1,1,2,1,1,1,1,2
2,3,1,1,1,1,1,1,1,1,1,1,2
3,3,1,1,1,1,1,5,1,1,1,1,2
5,3,1,1,1,1,1,3,1,1,1,1,2
1,3,1,1,1,1,1,3,1,1,1,1,2
2,3,1,1,1,1,1,5,1,1,1,1,2
3,3,1,1,1,2,1,6,1,1,1,1,2
4,3,1,1,1,1,1,1,1,1,1,1,2
1,3,1,1,1,1,2,5,1,1,1,1,2
2,3,1,1,1,1,1,4,1,1,1,1,2
3,3,1,1,1,1,2,1,1,1,1,1,2
4,3,1,1,1,1,1,3,1,1,1,1,2
5,3,1,1,1,1,1,6,1,1,1,1,2
1,2,1,1,1,1,1,3,1,1,1,1,2
3,3,1,1,1,1,1,3,1,1,1,1,2
4,2,1,1,1,1,1,2,1,1,1,1,2
5,2,1,1,1,1,1,2,2,2,1,1,2
1,2,1,1,1,1,1,4,1,1,1,1,2
4,2,1,1,1,1,1,5,1,1,1,1,2
5,3,1,1,1,1,1,5,1,1,1,1,2
2,3,1,1,1,1,1,2,1,1,1,1,2
3,2,1,1,1,1,1,6,1,1,1,1,2
5,3,1,1,1,1,1,2,1,1,1,1,2
2,3,1,1,1,1,1,3,1,1,1,1,2
3,3,1,1,1,1,1,2,1,1,1,1,2
4,3,1,1,1,1,1,3,1,1,1,1,2
5,3,1,1,1,1,1,2,1,1,1,1,2
1,3,1,1,1,1,1,5,1,1,1,1,2
2,3,1,1,1,1,2,4,1,1,1,1,2
3,3,1,1,1,1,1,4,1,1,1,1,2
5,2,1,1,1,1,1,3,1,1,1,1,2
2,3,1,1,1,1,1,1,1,1,1,1,2
3,3,1,1,1,1,1,3,1,1,1,1,2
4,3,1,1,1,1,1,1,1,1,1,1,2
1,3,1,1,1,1,1,2,1,1,1,1,2
2,3,1,1,1,1,1,1,1,1,1,1,2
3,3,1,1,1,1,1,6,1,1,1,1,2
4,3,1,1,1,1,1,2,1,1,1,1,2
5,2,1,1,1,1,1,4,1,1,1,1,2
1,2,1,1,1,1,1,5,1,1,1,1,2
2,3,1,1,1,1,1,4,1,1,1,1,2
3,1,1,1,1,1,1,7,1,1,1,1,2
5,2,1,1,1,1,1,4,1,1,1,1,2
1,3,1,1,1,1,1,6,1,1,1,1,2
2,3,1,1,1,1,1,5,1,1,1,1,2
4,2,1,1,1,1,1,2,1,1,1,1,2
5,3,1,1,1,1,1,3,1,1,1,1,2
1,2,1,1,1,1,1,5,1,1,1,1,2
2,2,1,1,1,1,1,3,1,1,1,1,2
3,3,1,1,1,1,1,5,1,1,1,1,2
4,2,1,1,1,1,2,2,1,1,1,1,2
5,2,1,1,1,1,2,5,1,1,1,1,2
1,3,1,1,1,1,1,9,1,1,1,1,2
2,3,1,1,1,1,1,3,1,1,1,1,2
3,3,1,1,1,1,2,6,1,1,1,1,2
5,3,1,1,1,1,1,3,1,1,1,1,2
1,2,1,1,1,1,1,6,1,1,1,1,2
2,2,1,1,1,1,1,3,1,1,1,1,2
3,2,1,1,1,1,2,2,1,1,1,1,2
5,2,1,1,1,1,1,3,2,2,1,1,2
1,2,1,1,1,1,1,9,1,1,1,1,2
2,3,1,1,1,1,1,4,1,1,1,1,2
3,2,1,1,1,1,2,2,1,1,1,1,2
4,2,1,1,1,1,1,5,1,1,1,1,2
5,2,1,1,1,1,1,2,1,1,1,1,2
1,2,1,1,1,1,2,4,1,1,1,1,2
2,2,1,1,1,1,2,3,1,1,1,1,2
3,2,1,1,1,1,1,2,1,1,1,1,2
4,2,1,1,1,1,1,2,1,1,1,1,2
5,2,1,1,1,1,1,3,1,1,1,1,2
2,3,1,1,1,1,1,3,1,1,1,1,2
3,3,1,1,1,1,1,4,1,1,1,1,2
4,3,1,1,1,1,1,1,1,1,1,1,2
5,3,1,1,1,1,1,4,1,1,1,1,2
1,3,1,1,1,1,1,6,1,1,1,1,2
3,3,1,1,1,1,1,3,1,1,1,1,2
4,3,1,1,1,1,1,2,1,1,1,1,2
5,3,1,1,1,1,1,4,1,1,1,1,2
2,3,1,1,1,1,1,7,1,1,1,1,2
4,3,1,1,1,1,1,4,1,1,1,1,2
5,3,1,1,1,1,1,5,1,1,1,1,2
1,3,1,1,1,1,1,3,1,1,1,1,2
2,3,1,1,1,1,1,3,1,1,1,1,2
4,3,1,1,1,1,1,2,1,1,1,1,2
2,3,1,1,1,1,1,2,1,1,1,1,2
1,3,1,1,1,1,1,5,1,1,1,1,2
2,3,1,1,1,1,1,4,1,1,1,1,2
3,3,1,1,1,1,1,3,1,1,1,1,2
4,3,1,1,1,1,1,6,1,1,1,1,2
5,3,1,1,1,1,1,4,1,1,1,1,2
2,3,1,1,1,1,1,3,1,1,1,1,2
3,3,1,1,1,1,1,3,1,1,1,1,2
4,3,1,1,1,1,1,2,1,1,1,1,2
5,3,1,1,1,1,1,5,1,1,1,1,2
2,3,1,1,1,1,1,3,1,1,1,1,2
3,3,1,1,1,1,1,3,1,1,1,1,2
4,3,1,1,1,1,1,2,1,1,1,1,2
5,3,1,1,1,1,1,2,1,1,1,1,2
1,3,1,1,1,1,1,4,1,1,1,1,2
2,3,1,1,1,1,1,5,1,1,1,1,2
3,3,1,1,1,2,2,6,1,1,1,1,2
4,3,1,1,1,1,1,1,1,1,1,1,2
5,3,1,1,1,1,1,5,2,2,1,1,2
1,3,1,1,1,1,1,8,2,2,1,1,2
3,3,1,1,1,1,1,1,1,1,1,1,2
4,3,1,1,1,1,1,1,1,1,1,1,2
1,3,1,1,1,1,1,2,1,1,1,1,2
2,3,1,1,1,1,1,3,1,1,1,1,2
3,2,1,1,1,1,1,3,1,1,1,1,2
4,3,1,1,1,1,1,2,1,1,1,1,2
5,2,1,1,1,1,1,3,1,1,1,1,2
1,3,1,1,1,1,1,4,1,1,1,1,2
2,3,1,1,1,1,1,3,1,1,1,1,2
3,3,1,1,1,1,1,1,1,1,1,1,2
5,3,1,1,1,1,1,3,1,1,1,1,2
1,3,1,1,1,1,1,2,1,1,1,1,2
2,2,1,1,1,1,1,3,1,1,1,1,2
3,3,1,1,1,1,2,1,1,1,1,1,2
4,3,1,1,1,1,1,3,1,1,1,1,2
5,2,1,1,1,1,2,7,2,2,1,1,2
1,3,1,1,1,1,1,4,1,1,1,1,2
2,3,1,1,1,1,1,2,1,1,1,1,2
3,3,1,1,1,1,2,5,1,1,1,1,2
4,3,1,1,1,1,2,1,1,1,1,1,2
5,3,1,1,1,1,1,1,1,1,1,1,2
1,3,1,1,1,1,1,5,1,1,1,1,2
2,3,1,1,1,1,1,3,1,1,1,1,2
3,3,1,1,1,1,1,4,1,1,1,1,2
4,3,1,1,1,1,2,8,1,1,1,1,2
5,3,1,1,1,1,1,2,1,1,1,1,2
1,2,1,1,1,1,1,3,1,1,1,1,2
2,3,1,1,1,1,1,4,1,1,1,1,2
3,3,1,1,1,1,1,5,1,1,1,1,2
5,2,1,1,1,1,1,4,1,1,1,1,2
1,3,1,1,1,1,1,8,1,1,1,1,2
2,3,1,1,1,1,1,2,1,1,1,1,2
3,3,2,1,1,1,1,5,1,1,1,1,2
4,2,1,1,1,1,1,2,1,1,1,1,2
5,3,1,1,1,1,1,5,1,1,1,1,2
1,2,1,1,1,2,2,1,1,1,1,1,2
2,3,1,1,1,2,2,1,1,1,1,1,2
3,3,1,1,1,1,1,2,1,1,1,1,2
4,3,1,1,1,1,1,3,1,1,1,1,2
5,3,1,1,1,1,1,3,1,1,1,1,2
1,3,1,1,1,1,1,5,1,1,1,1,2
2,3,1,1,1,1,1,4,1,1,1,1,2
4,2,1,1,1,1,1,2,1,1,1,1,2
2,3,2,1,1,2,2,1,1,1,1,1,2
3,3,1,1,1,1,1,1,1,1,1,1,2
4,3,1,1,1,1,1,4,1,1,1,1,2
5,3,2,1,1,1,2,3,1,1,1,1,2
1,3,1,1,1,1,1,2,1,1,1,1,2
3,3,1,1,1,1,1,8,1,1,1,1,2
5,3,2,1,1,2,2,2,1,1,1,1,2
2,3,1,1,1,1,1,5,1,1,1,1,2
3,3,1,1,1,1,1,4,1,1,1,1,2
4,3,1,1,1,1,1,6,1,1,1,1,2
5,3,2,1,1,1,1,7,1,1,1,1,2
1,3,1,1,1,1,1,3,1,1,1,1,2
3,3,1,1,1,1,2,2,1,1,1,1,2
4,3,1,1,1,1,1,4,1,1,1,1,2
5,3,1,1,1,1,1,3,1,1,1,1,2
1,2,1,1,1,1,1,6,1,1,1,1,2
2,3,1,1,1,1,1,8,1,1,1,1,2
3,3,1,1,1,1,1,3,1,1,1,1,2
4,3,1,1,1,1,1,1,1,1,1,1,2
5,3,1,1,1,1,1,8,1,1,1,1,2
2,2,1,1,1,1,1,2,1,1,1,1,2
3,3,1,1,1,1,1,5,1,1,1,1,2
4,3,1,1,1,1,1,1,1,1,1,1,2
5,3,1,1,1,1,1,4,1,1,1,1,2
1,3,1,1,1,1,1,3,1,1,1,1,2
2,3,1,1,1,1,1,1,1,1,1,1,2
3,3,1,1,1,1,1,1,1,1,1,1,2
4,3,1,1,1,1,1,5,1,1,1,1,2
5,3,1,1,1,1,1,2,1,1,1,1,2
1,3,1,1,1,1,1,2,1,1,1,1,2
2,3,1,1,1,1,1,3,1,1,1,1,2
3,3,1,1,1,1,1,4,1,1,1,1,2
4,3,1,1,1,1,1,5,1,1,1,1,2
5,3,1,1,1,1,1,5,1,1,1,1,2
2,3,1,1,1,1,1,2,1,1,1,1,2
1,2,1,1,1,1,1,2,1,1,1,1,2
2,3,1,1,1,1,1,5,1,1,1,1,2
3,2,1,1,1,1,1,4,1,1,1,1,2
4,2,1,1,1,1,1,1,1,1,1,1,2
5,2,1,1,1,1,2,3,1,1,1,1,2
2,3,1,1,1,1,1,4,1,1,1,1,2
3,2,1,1,1,1,1,2,1,1,1,1,2
5,3,1,1,1,1,1,6,1,1,1,1,2
1,2,1,1,1,1,1,4,1,1,1,1,2
2,3,1,1,1,1,1,3,1,1,1,1,2
4,2,1,1,1,1,2,8,2,2,1,1,2
5,3,1,1,1,1,1,5,1,1,1,1,2
2,3,1,1,1,1,1,3,1,1,1,1,2
3,3,1,1,1,1,1,4,1,1,1,1,2
4,3,1,1,1,1,1,2,1,1,1,1,2
5,3,1,1,1,1,1,2,1,1,1,1,2
1,3,1,1,1,1,1,3,1,1,1,1,2
3,3,1,1,1,1,1,2,1,1,1,1,2
4,3,1,1,1,1,1,2,1,1,1,1,2
3,3,1,1,1,1,1,2,1,1,1,1,2
5,3,1,1,1,1,1,3,1,1,1,1,2
1,3,1,1,1,1,1,1,1,1,1,1,2
3,3,1,1,1,1,1,1,1,1,1,1,2
4,3,1,1,1,1,1,5,1,1,1,1,2
5,3,1,1,1,1,1,1,1,1,1,1,2
1,3,1,1,1,1,1,1,1,1,1,1,2
2,2,1,1,1,1,2,1,1,1,1,1,2
3,3,1,1,1,1,1,1,1,1,1,1,2
4,3,1,1,1,1,1,3,1,1,1,1,2
5,3,1,1,1,1,1,1,1,1,1,1,2
3,3,1,1,1,1,1,4,1,1,1,1,2
4,3,1,1,1,1,1,5,1,1,1,1,2
5,3,1,1,1,1,1,2,1,1,1,1,2
1,3,1,1,1,1,2,2,1,1,1,1,2
2,3,1,1,1,2,2,1,1,1,1,1,2
4,3,2,1,1,1,1,4,1,1,1,1,2
5,2,1,1,1,1,2,2,1,1,1,1,2
4,3,1,1,1,1,1,2,1,1,1,1,2
5,3,1,1,1,1,1,1,1,1,1,1,2
2,3,1,1,1,1,1,2,1,1,1,1,2
3,3,1,1,1,1,1,8,1,1,1,1,2
4,3,1,1,1,1,1,3,1,1,1,1,2
5,3,1,1,1,1,1,2,1,1,1,1,2
1,3,1,1,1,2,1,2,1,1,1,1,2
3,3,1,1,1,1,1,1,1,1,1,1,2
4,3,1,1,1,1,1,6,1,1,1,1,2
2,3,1,1,1,1,1,6,1,1,1,1,2
3,3,1,1,1,1,1,5,1,1,1,1,2
4,3,1,1,1,1,1,4,1,1,1,1,2
5,2,1,1,1,1,1,3,1,1,1,1,2
2,3,1,1,1,1,1,4,1,1,1,1,2
3,3,1,1,1,1,1,7,1,1,1,1,2
4,3,1,1,1,1,1,3,1,1,1,1,2
5,2,1,1,1,1,1,5,1,1,1,1,2
1,3,1,1,1,1,1,6,1,1,1,1,2
2,3,1,1,1,1,1,4,1,1,1,1,2
3,2,1,1,1,1,1,3,1,1,1,1,2
4,3,1,1,1,1,1,4,1,1,1,1,2
5,3,1,1,1,1,1,3,1,1,1,1,2
1,3,1,1,1,1,1,6,2,3,1,1,2
2,2,1,1,1,1,1,2,1,1,1,1,2
3,3,1,1,1,1,1,6,1,1,1,1,2
4,3,1,1,1,1,2,2,1,1,1,1,2
5,2,1,1,1,1,1,4,1,1,1,1,2
2,3,1,1,1,1,1,3,1,1,1,1,2
4,3,1,1,1,1,2,1,1,1,1,1,2
5,3,1,1,1,1,1,3,1,1,1,1,2
1,3,1,1,1,2,2,1,1,1,1,1,2
2,3,1,1,1,1,1,3,1,1,1,1,2
3,3,1,1,1,1,1,2,1,1,1,1,2
4,3,1,1,1,1,1,3,1,1,1,1,2
1,3,1,1,1,1,2,4,1,1,1,1,2
2,2,1,1,1,1,1,1,1,1,1,1,2
3,3,1,1,1,1,1,2,1,1,1,1,2
1,3,1,1,1,1,1,4,1,1,1,1,2
2,3,1,1,1,1,1,6,1,1,1,1,2
4,3,1,1,1,1,2,2,1,1,1,1,2
1,3,1,1,1,1,1,2,1,1,1,1,2
2,3,1,1,1,1,1,4,1,1,1,1,2
3,3,1,1,1,1,1,4,1,1,1,1,2
4,3,1,1,1,1,1,4,1,1,1,1,2
5,2,1,1,1,1,1,4,1,1,1,1,2
2,3,1,1,1,1,1,3,1,1,1,1,2
1,3,1,1,1,1,1,3,1,1,1,1,2
2,3,1,1,1,2,2,2,1,1,1,1,2
3,2,1,1,1,1,1,6,2,2,1,1,2
4,3,1,1,1,1,1,3,1,1,1,1,2
1,2,1,1,1,1,1,5,1,1,1,1,2
2,2,1,1,1,1,1,6,1,1,1,1,2
3,3,1,1,1,1,1,3,1,1,1,1,2
5,2,1,1,1,1,1,2,1,1,1,1,2
1,3,1,1,1,1,1,5,1,1,1,1,2
2,2,1,1,1,1,2,4,1,1,1,1,2
3,3,1,1,1,1,1,3,1,1,1,1,2
4,3,1,1,1,1,1,5,1,1,1,1,2
5,2,1,1,1,1,2,5,1,1,1,1,2
1,3,1,1,1,1,1,3,1,1,1,1,2
2,3,1,1,1,1,1,3,1,1,1,1,2
3,3,1,1,1,1,1,3,1,1,1,1,2
5,3,1,1,1,1,1,4,1,1,1,1,2
1,3,1,1,1,1,1,3,1,1,1,1,2
2,2,1,1,1,1,1,5,1,1,1,1,2
3,2,1,1,1,1,1,4,1,1,1,1,2
4,3,1,1,1,1,1,4,1,1,1,1,2
5,3,1,1,1,1,1,6,1,1,1,1,2
1,3,1,1,1,1,1,5,1,1,1,1,2
2,3,1,1,1,1,1,2,1,1,1,1,2
3,3,1,1,1,1,1,2,1,1,1,1,2
4,2,1,1,1,1,2,2,1,1,1,1,2
5,2,1,1,1,1,1,4,1,1,1,1,2
1,3,1,1,1,1,1,2,1,1,1,1,2
2,2,1,1,1,1,1,4,1,1,1,1,2
3,3,1,1,1,1,1,4,1,1,1,1,2
4,3,1,1,1,1,1,8,1,1,1,1,2
5,3,1,1,1,1,2,4,1,1,1,1,2
1,2,1,1,1,1,1,6,1,1,1,1,2
2,3,1,1,1,1,2,1,1,1,1,1,2
5,3,1,1,1,1,1,5,1,1,1,1,2
1,3,1,1,1,1,1,7,1,1,1,1,2
2,3,1,1,1,1,1,5,1,1,1,1,2
3,2,1,1,1,1,1,5,1,1,1,1,2
4,2,1,1,1,1,2,3,1,1,1,1,2
5,2,1,1,1,1,1,5,1,1,1,1,2
2,3,1,1,1,1,1,3,1,1,1,1,2
3,3,1,1,1,1,2,1,1,1,1,1,2
4,3,1,1,1,1,1,6,1,1,1,1,2
5,3,1,1,1,1,1,4,1,1,1,1,2
3,3,1,1,1,1,1,2,1,1,1,1,2
4,3,1,1,1,1,1,4,1,1,1,1,2
5,3,1,1,1,1,1,4,1,1,1,1,2
1,3,1,1,1,1,1,3,1,1,1,1,2
2,3,1,1,1,1,1,4,1,1,1,1,2
4,3,1,1,1,1,1,3,1,1,1,1,2
5,3,1,1,1,1,1,3,1,1,1,1,2
1,3,1,1,1,1,1,4,1,1,1,1,2
2,3,1,1,1,1,1,3,1,1,1,1,2
3,3,1,1,1,1,1,4,1,1,1,1,2
4,3,1,1,1,1,1,4,1,1,1,1,2
2,3,1,1,1,1,1,5,1,1,1,1,2
3,3,1,1,1,1,1,4,1,1,1,1,2
4,3,1,1,1,1,1,1,1,1,1,1,2
2,3,1,1,1,1,1,2,1,1,1,1,2
3,3,1,1,1,1,1,3,1,1,1,1,2
4,3,1,1,1,1,2,1,1,1,1,1,2
1,3,1,1,1,1,1,4,1,1,1,1,2
2,2,1,1,1,1,1,4,1,1,1,1,2
3,3,1,1,1,1,1,3,1,1,1,1,2
4,3,1,1,1,1,1,1,1,1,1,1,2
1,2,1,1,1,1,1,8,1,1,1,1,2
2,2,1,1,1,2,2,3,1,1,1,1,2
4,2,1,1,1,1,1,5,1,1,1,1,2
1,3,1,1,1,1,1,2,1,1,1,1,2
2,3,1,1,1,1,1,4,1,1,1,1,2
3,3,1,1,1,1,2,1,1,1,1,1,2
4,3,1,1,1,1,1,6,1,1,1,1,2
5,3,1,1,1,1,1,5,1,1,1,1,2
1,2,1,1,1,1,1,4,1,1,1,1,2
2,2,1,1,1,1,1,3,1,1,1,1,2
3,3,1,1,1,1,1,3,1,1,1,1,2
4,2,1,1,1,1,1,6,1,1,1,1,2
5,2,1,1,1,1,2,5,1,1,1,1,2
1,3,1,1,1,1,1,6,1,1,1,1,2
2,3,1,1,1,1,1,2,1,1,1,1,2
3,2,1,1,1,1,1,4,1,1,1,1,2
4,2,1,1,1,1,1,3,1,1,1,1,2
5,2,1,1,1,1,2,4,1,1,1,1,2
1,3,1,1,1,1,1,4,1,1,1,1,2
3,3,1,1,1,1,1,2,1,1,1,1,2
4,2,1,1,1,1,1,5,1,1,1,1,2
5,3,1,1,1,1,1,2,1,1,1,1,2
1,3,1,1,1,1,1,4,1,1,1,1,2
2,2,1,1,1,1,1,5,1,1,1,1,2
3,3,1,1,1,1,2,7,1,1,1,1,2
1,3,1,1,1,1,1,4,1,1,1,1,2
2,2,1,1,1,1,1,4,1,1,1,1,2
3,3,1,1,1,1,1,3,1,1,1,1,2
4,3,1,1,1,1,1,2,1,1,1,1,2
5,3,1,1,1,1,1,4,1,1,1,1,2
1,3,1,1,1,1,1,2,1,1,1,1,2
3,3,1,1,1,1,1,5,1,1,1,1,2
4,3,1,1,1,1,1,3,1,1,1,1,2
1,3,1,1,1,1,1,2,1,1,1,1,2
2,3,1,1,1,1,1,6,1,1,1,1,2
3,3,1,1,1,1,1,4,1,1,1,1,2
4,3,1,1,1,1,1,5,1,1,1,1,2
1,3,1,1,1,1,1,9,1,1,1,1,2
2,3,1,1,1,2,1,2,1,1,1,1,2
3,2,1,1,1,1,1,5,1,1,1,1,2
4,2,1,1,1,1,1,5,1,1,1,1,2
1,3,1,1,1,2,2,5,1,1,1,1,2
2,2,1,1,1,1,1,6,1,1,1,1,2
3,3,1,1,1,1,1,4,1,1,1,1,2
4,3,1,1,1,1,1,4,1,1,1,1,2
5,3,1,1,1,1,1,6,1,1,1,1,2
1,2,1,1,1,1,1,5,1,1,1,1,2
2,2,1,1,1,1,1,2,1,1,1,1,2
3,2,1,1,1,1,1,5,1,1,1,1,2
4,3,1,1,1,2,1,3,1,1,1,1,2
5,2,1,1,1,1,1,4,1,1,1,1,2
1,3,1,1,1,1,2,2,1,1,1,1,2
2,2,1,1,1,1,1,4,1,1,1,1,2
4,2,1,1,1,1,1,6,1,1,1,1,2
5,2,1,1,1,1,1,6,1,1,1,1,2
1,2,1,1,1,1,1,4,1,1,1,1,2
2,3,1,1,1,1,1,4,1,1,1,1,2
4,2,1,1,1,1,1,4,1,1,1,1,2
1,3,1,1,1,1,1,6,1,1,1,1,2
2,3,1,1,1,1,1,4,1,1,1,1,2
3,3,1,1,1,1,1,5,1,1,1,1,2
5,3,1,1,1,1,1,5,1,1,1,1,2
1,2,1,1,1,1,1,3,1,1,1,1,2
2,3,1,1,1,1,1,1,1,1,1,1,2
4,3,1,1,1,1,1,4,1,1,1,1,2
5,3,1,1,1,1,1,5,1,1,1,1,2
1,2,1,1,1,1,1,5,1,1,1,1,2
2,2,1,1,1,1,1,5,1,1,1,1,2
3,3,1,1,1,1,1,4,1,1,1,1,2
4,2,1,1,1,1,1,2,1,1,1,1,2
5,2,1,1,1,1,1,2,1,1,1,1,2
1,3,1,1,1,1,2,2,1,1,1,1,2
2,3,1,1,1,1,1,3,1,1,1,1,2
3,3,1,1,1,1,1,4,1,1,1,1,2
4,3,1,1,1,1,1,4,1,1,1,1,2
5,3,1,1,1,2,2,4,1,1,1,1,2
1,3,1,1,1,1,1,6,1,1,1,1,2
2,3,1,1,1,1,1,3,1,1,1,1,2
3,3,1,1,1,1,1,4,1,1,1,1,2
5,3,1,1,1,1,1,6,1,1,1,1,2
1,3,1,1,1,1,2,2,1,1,1,1,2
2,2,1,1,1,1,2,4,1,1,1,1,2
3,2,1,1,1,1,1,3,1,1,1,1,2
4,2,1,1,1,1,1,6,1,1,1,1,2
5,2,1,1,1,1,1,4,1,1,1,1,2
1,2,1,1,1,1,2,4,1,1,1,1,2
3,3,1,1,1,1,1,6,1,1,1,1,2
4,3,1,1,1,1,1,6,1,1,1,1,2
5,3,1,1,1,1,1,2,1,1,1,1,2
2,3,1,1,1,1,1,4,1,1,1,1,2
3,3,1,1,1,1,1,5,1,1,1,1,2
4,3,1,1,1,1,1,5,1,1,1,1,2
5,3,1,1,1,1,1,5,1,1,1,1,2
1,3,1,1,1,1,1,5,1,1,1,1,2
2,3,1,1,1,1,1,3,1,1,1,1,2
3,3,1,1,1,1,1,2,1,1,1,1,2
4,3,1,1,1,1,1,4,1,1,1,1,2
5,3,1,1,1,1,1,4,1,1,1,1,2
1,3,1,1,1,1,1,5,1,1,1,1,2
2,3,1,1,1,1,1,6,1,1,1,1,2
3,3,1,1,1,1,1,5,1,1,1,1,2
4,3,1,1,1,1,1,3,1,1,1,1,2
5,3,1,1,1,1,1,4,1,1,1,1,2
1,3,1,1,1,1,1,6,1,1,1,1,2
2,2,1,1,1,1,1,3,1,1,1,1,2
3,3,1,1,1,1,1,4,1,1,1,1,2
4,3,1,1,1,1,1,4,1,1,1,1,2
5,2,1,1,1,2,2,3,1,1,1,1,2
1,3,1,1,1,1,1,5,1,1,1,1,2
2,3,1,1,1,1,1,2,1,1,1,1,2
3,2,1,1,1,1,1,3,1,1,1,1,2
4,3,1,1,1,1,1,5,1,1,1,1,2
5,2,1,1,1,1,1,6,1,1,1,1,2
1,3,1,1,1,1,1,4,1,1,1,1,2
2,3,1,1,1,1,1,3,1,1,1,1,2
3,3,1,1,1,1,1,4,1,1,1,1,2
4,3,1,1,1,1,1,2,1,1,1,1,2
1,3,1,1,1,1,1,1,1,1,1,1,2
2,3,1,1,1,1,1,4,1,1,1,1,2
3,3,1,1,1,1,1,2,1,1,1,1,2
